Crypto_Currency,Strength,Trade_Condition,Time
AAVEUSDT,-39,Weak Sell,10:26 24/09/2025
BCHUSDT,0,Not Available,10:26 24/09/2025
BNBUSDT,-63,Weak Sell,10:26 24/09/2025
BTCUSDT,30,Weak Buy,10:26 24/09/2025
COMPUSDT,0,Not Available,10:26 24/09/2025
DOGEUSDT,-49,Weak Sell,10:26 24/09/2025
ETHUSDT,0,Not Available,10:26 24/09/2025
LTCUSDT,33,Weak Buy,10:26 24/09/2025
SOLUSDT,11,Weak Buy,10:26 24/09/2025
XLMUSDT,0,Not Available,10:26 24/09/2025
XMRUSDT,-36,Weak Sell,10:26 24/09/2025
XRPUSDT,-83,Weak Sell,10:26 24/09/2025
AAVEUSDT,-33,Weak Sell,23:10 22/09/2025
BCHUSDT,0,Not Available,23:10 22/09/2025
BNBUSDT,53,Weak Buy,23:10 22/09/2025
BTCUSDT,97,Weak Buy,23:10 22/09/2025
COMPUSDT,0,Not Available,23:10 22/09/2025
DOGEUSDT,-20,Weak Sell,23:10 22/09/2025
ETHUSDT,0,Not Available,23:11 22/09/2025
LTCUSDT,-28,Weak Sell,23:11 22/09/2025
SOLUSDT,40,Weak Buy,23:11 22/09/2025
XLMUSDT,0,Not Available,23:11 22/09/2025
XMRUSDT,22,Weak Buy,23:11 22/09/2025
XRPUSDT,-11,Weak Sell,23:11 22/09/2025
AAVEUSDT,-34,Weak Sell,23:10 22/09/2025
DOGEUSDT,-19,Weak Sell,23:10 22/09/2025
ETHUSDT,0,Not Available,23:10 22/09/2025
LTCUSDT,-27,Weak Sell,23:10 22/09/2025
SOLUSDT,41,Weak Buy,23:10 22/09/2025
XLMUSDT,0,Not Available,23:10 22/09/2025
